Month,Year,Company,Location,State,Type of breach,Type of organization,Records Breached,Total Records,Description of incident,Information Source
August,2009,University of Massachusetts,Amherst, Massachusetts,HACK,EDU,0,0,"Nearly a year ago, hackers broke 
            into a computer server that contained Social Security numbers and 
            a very limited amount of credit card information for 
            graduates of University of Massachusetts. Hackers gained access to 
            one server on the university's computer system, which held information 
            of students who attended UMass between 1982 and 2002, as well as a 
            few who attended before 1982. A UMass spokesman declined to say how 
            many people's records were exposed, except that it was a 
            large number of undergraduate and graduate students who attended 
            the university during the 20-year period.",Dataloss DB
June,2009,Suncoast Schools Federal Credit Union,Tampa, Florida,HACK,BSF,"56,000

            Not added to the total because it's included in the huge number already 
            attributed for Heartland.",0,"Some members of Suncoast Schools              Federal Credit Union have been notified that their debit card accounts              were exposed to fraud. It is the latest casualty of last year's breach              of Heartland Payment Systems, one of the country's largest credit              card processors, where information from more than 100 million credit              and debit card transactions was exposed. Not until the end of May              did Suncoast discover that some of its customers who use Visa Check              Cards could be in danger. The Tampa credit union is issuing new cards              to all members whose accounts were compromised.",Media
April,2009,Penn State Erie/Behrend College,Erie, Pennsylvania,HACK,EDU,"10,868","10,868","On March 23, the University confirmed 
            that 10,868 Social Security numbers in historical data on a computer 
            at Penn State Erie, The Behrend College, could have been breached. 
            Longstanding security measures, designed to protect the network and 
            systems from malicious software, alerted the University to the potential 
            breach. As soon as the University became aware of the malicious software 
            on this computer, the computer was immediately taken off line, data 
            was examined and information was removed.",Dataloss DB
March,2009,Penn State Office of Physical Plant,University Park, Pennsylvania,HACK,EDU,"1,000","1,000","The Social Security numbers of 
          employees working for the Penn State Office of Physical Plant in 2000 
          may have been stolen. A virus infiltrated an administrative computer 
          that contained more than 1,000 Social Security numbers of OPP employees.",Dataloss DB
February,2009, University of Florida          ,Gainesville, Florida,HACK,EDU,"97,200","97,200","A foreign hacker gained access to 
          a University of Florida computer system containing the personal information 
          of students, faculty and staff. The files included the names and Social 
          Security numbers of individuals who used UF's Grove computer system 
          since 1996.",Dataloss DB
February,2009,Federal Aviation Administration,Washington, District Of Columbia,HACK,GOV,"43,000
          Total increased to 48,000","48,000","Hackers broke into the Federal Aviation 
          Administration's computer system, accessing the names and Social Security 
          numbers of employees and retirees.",Dataloss DB
February,2009,Kaspersky,Woburn, Massachusetts,HACK,BSO,0,0,"An unidentified hacker gained 
            access to databases used by the usa.kaspersky.com Web site, allowing 
            access to users' accounts, activation codes and possibly personal 
            data about Kaspersky customers. Kaspersky Lab is a security software 
            company.",Media
February,2009,SRA International,Fairfax, Virginia,HACK,BSO,0,0,"Malicious software may have allowed 
            hackers to get access to data maintained by SRA, including employee 
            names, addresses, Social Security numbers, dates of birth and healthcare 
            provider information.",Dataloss DB
January,2009,University of Rochester,Rochester, New York,HACK,EDU,450,450,"Personal information including 
            Social Security numbers of about 450 current and former University 
            of Rochester students was stolen by hackers this week from a UR database. 
            The information was taken from a non-academic student database and 
            copied illegally to an off-campus IP address.",Dataloss DB
December,2008,University of North Carolina,Greensboro, North Carolina,HACK,EDU,0,0,"A breach of the accounting computer 
            systems at UNC-Greensboro may have exposed personal employee information 
            to intruders. The breach was detected on a computer in the Accounting 
            Services office, in the form of a virus that may have allowed unauthorized 
            access.",Dataloss DB
